combo_label,odd1,odd2,combo_odds,legs_summary,,Combination: Match Result (odd1) - 2nd Half Corners (odd2)
1-Under 6.5,2.27,1.16,2.57,Match Result: San Lorenzo @ 2.2700  |  2nd Half Corners: Under 6.5 @ 1.1600,,
1-Under 8.5,2.27,1.025,2.27,Match Result: San Lorenzo @ 2.2700  |  2nd Half Corners: Under 8.5 @ 1.0250,,
X-Over 1.5,2.72,1.05,2.9,Match Result: Draw @ 2.7200  |  2nd Half Corners: Over 1.5 @ 1.0500,,
X-Under 4.5,2.72,1.75,4.75,Match Result: Draw @ 2.7200  |  2nd Half Corners: Under 4.5 @ 1.7500,,
1-Over 2.5,3.65,1.14,3.95,Match Result: Gimnasia Y Esgrima Mendoza @ 3.6500  |  2nd Half Corners: Over 2.5 @ 1.1400,,
1-Under 1.5,3.65,9.5,32,Match Result: Gimnasia Y Esgrima Mendoza @ 3.6500  |  2nd Half Corners: Under 1.5 @ 9.5000,,
1-Over 3.5,3.65,1.35,4.65,Match Result: Gimnasia Y Esgrima Mendoza @ 3.6500  |  2nd Half Corners: Over 3.5 @ 1.3500,,
1-Under 3.5,3.65,3.05,10.75,Match Result: Gimnasia Y Esgrima Mendoza @ 3.6500  |  2nd Half Corners: Under 3.5 @ 3.0500,,
1-Under 4.5,3.65,1.95,6.8,Match Result: Gimnasia Y Esgrima Mendoza @ 3.6500  |  2nd Half Corners: Under 4.5 @ 1.9500,,
1-Over 5.5,3.65,2.57,8.75,Match Result: Gimnasia Y Esgrima Mendoza @ 3.6500  |  2nd Half Corners: Over 5.5 @ 2.5700,,
1-Under 5.5,3.65,1.47,5.1,Match Result: Gimnasia Y Esgrima Mendoza @ 3.6500  |  2nd Half Corners: Under 5.5 @ 1.4700,,
1-Over 7.5,3.65,6.2,20,Match Result: Gimnasia Y Esgrima Mendoza @ 3.6500  |  2nd Half Corners: Over 7.5 @ 6.2000,,
1-Over 8.5,3.65,9.25,29,Match Result: Gimnasia Y Esgrima Mendoza @ 3.6500  |  2nd Half Corners: Over 8.5 @ 9.2500,,
1-Under 6.5,3.65,1.22,4.25,Match Result: Gimnasia Y Esgrima Mendoza @ 3.6500  |  2nd Half Corners: Under 6.5 @ 1.2200,,
1-Over 9.5,3.65,11.75,35,Match Result: Gimnasia Y Esgrima Mendoza @ 3.6500  |  2nd Half Corners: Over 9.5 @ 11.7500,,
X-Under 1.5,2.8,9.5,22,Match Result: Draw @ 2.8000  |  2nd Half Corners: Under 1.5 @ 9.5000,,
2-Under 9.5,2.4,1.015,2.4,Match Result: Estudiantes de La Plata @ 2.4000  |  2nd Half Corners: Under 9.5 @ 1.0150,,
1-Under 2.5,2.8,4.55,11.5,Match Result: CA Banfield @ 2.8000  |  2nd Half Corners: Under 2.5 @ 4.5500,,
1-Over 3.5,2.8,1.44,3.9,Match Result: CA Banfield @ 2.8000  |  2nd Half Corners: Over 3.5 @ 1.4400,,
1-Over 4.5,2.8,1.98,5.2,Match Result: CA Banfield @ 2.8000  |  2nd Half Corners: Over 4.5 @ 1.9800,,
1-Under 3.5,2.8,2.67,6.9,Match Result: CA Banfield @ 2.8000  |  2nd Half Corners: Under 3.5 @ 2.6700,,
1-Under 4.5,2.8,1.78,4.8,Match Result: CA Banfield @ 2.8000  |  2nd Half Corners: Under 4.5 @ 1.7800,,
1-Over 6.5,2.8,4.75,12,Match Result: CA Banfield @ 2.8000  |  2nd Half Corners: Over 6.5 @ 4.7500,,
1-Under 7.5,2.3,1.13,2.55,Match Result: Club Atletico Tucuman @ 2.3000  |  2nd Half Corners: Under 7.5 @ 1.1300,,
X-Under 3.5,3.15,3.35,10.25,Match Result: Draw @ 3.1500  |  2nd Half Corners: Under 3.5 @ 3.3500,,
1-Over 2.5,2.32,1.15,2.6,Match Result: Newells Old Boys @ 2.3200  |  2nd Half Corners: Over 2.5 @ 1.1500,,
1-Over 3.5,2.32,1.38,3.15,Match Result: Newells Old Boys @ 2.3200  |  2nd Half Corners: Over 3.5 @ 1.3800,,
1-Under 2.5,2.32,5,11,Match Result: Newells Old Boys @ 2.3200  |  2nd Half Corners: Under 2.5 @ 5.0000,,
1-Over 4.5,2.32,1.85,4.15,Match Result: Newells Old Boys @ 2.3200  |  2nd Half Corners: Over 4.5 @ 1.8500,,
1-Under 3.5,2.32,2.9,6.3,Match Result: Newells Old Boys @ 2.3200  |  2nd Half Corners: Under 3.5 @ 2.9000,,
1-Over 5.5,2.32,2.67,6,Match Result: Newells Old Boys @ 2.3200  |  2nd Half Corners: Over 5.5 @ 2.6700,,
1-Under 6.5,2.32,1.2,2.7,Match Result: Newells Old Boys @ 2.3200  |  2nd Half Corners: Under 6.5 @ 1.2000,,
X-Under 5.5,2.92,1.44,4.3,Match Result: Draw @ 2.9200  |  2nd Half Corners: Under 5.5 @ 1.4400,,
2-Over 2.5,3.65,1.15,4.1,Match Result: Gimnasia Y Esgrima Mendoza @ 3.6500  |  2nd Half Corners: Over 2.5 @ 1.1500,,
1-Over 2.5,1.65,1.14,1.87,Match Result: Boca Juniors @ 1.6500  |  2nd Half Corners: Over 2.5 @ 1.1400,,
