combo_label,odd1,odd2,combo_odds,legs_summary,,Combination: Match Result (odd1) - Over/Under Corners (odd2)
X-Over 9.5,3.15,1.75,5.6,Match Result: Ισοπαλία @ 3.1500  |  Over/Under Corners: Over 9.5 @ 1.7500,,
X-Under 9.5,3.15,2.02,6.2,Match Result: Ισοπαλία @ 3.1500  |  Over/Under Corners: Under 9.5 @ 2.0200,,
1-Over 10.5,1.85,2.1,3.75,Match Result: Μάντσεστερ Γιουνάιτεντ @ 1.8500  |  Over/Under Corners: Over 10.5 @ 2.1000,,
1-Under 10.5,1.85,1.67,2.9,Match Result: Μάντσεστερ Γιουνάιτεντ @ 1.8500  |  Over/Under Corners: Under 10.5 @ 1.6700,,
2-Over 10.5,4,2.1,7.4,Match Result: Μπρέντφορντ @ 4.0000  |  Over/Under Corners: Over 10.5 @ 2.1000,,
2-Under 10.5,4,1.67,6.1,Match Result: Μπρέντφορντ @ 4.0000  |  Over/Under Corners: Under 10.5 @ 1.6700,,
X-Over 10.5,3.85,2.1,7.9,Match Result: Ισοπαλία @ 3.8500  |  Over/Under Corners: Over 10.5 @ 2.1000,,
X-Under 10.5,3.85,1.67,6.8,Match Result: Ισοπαλία @ 3.8500  |  Over/Under Corners: Under 10.5 @ 1.6700,,
1-Over 9.5,2.77,1.91,4.85,Match Result: Αμβούργο @ 2.7700  |  Over/Under Corners: Over 9.5 @ 1.9100,,
1-Under 9.5,2.77,1.83,4.65,Match Result: Αμβούργο @ 2.7700  |  Over/Under Corners: Under 9.5 @ 1.8300,,
2-Over 9.5,2.42,1.91,4.2,Match Result: Φράιμπουργκ @ 2.4200  |  Over/Under Corners: Over 9.5 @ 1.9100,,
2-Under 9.5,2.42,1.83,4.4,Match Result: Φράιμπουργκ @ 2.4200  |  Over/Under Corners: Under 9.5 @ 1.8300,,
X-Over 9.5,3.6,1.91,6.9,Match Result: Ισοπαλία @ 3.6000  |  Over/Under Corners: Over 9.5 @ 1.9100,,
X-Under 9.5,3.6,1.83,6.7,Match Result: Ισοπαλία @ 3.6000  |  Over/Under Corners: Under 9.5 @ 1.8300,,
1-Over 8.5,1.75,1.75,2.95,Match Result: Θέλτα @ 1.7500  |  Over/Under Corners: Over 8.5 @ 1.7500,,
1-Under 8.5,1.75,2,3.3,Match Result: Θέλτα @ 1.7500  |  Over/Under Corners: Under 8.5 @ 2.0000,,
2-Over 8.5,4.55,1.75,7.1,Match Result: Έλτσε @ 4.5500  |  Over/Under Corners: Over 8.5 @ 1.7500,,
2-Under 8.5,4.55,2,9,Match Result: Έλτσε @ 4.5500  |  Over/Under Corners: Under 8.5 @ 2.0000,,
X-Over 8.5,3.85,1.75,6.6,Match Result: Ισοπαλία @ 3.8500  |  Over/Under Corners: Over 8.5 @ 1.7500,,
X-Under 8.5,3.85,2,8.25,Match Result: Ισοπαλία @ 3.8500  |  Over/Under Corners: Under 8.5 @ 2.0000,,
1-Over 9.5,1.47,1.88,2.8,Match Result: Αλμερία @ 1.4700  |  Over/Under Corners: Over 9.5 @ 1.8800,,
1-Under 9.5,1.47,1.85,2.57,Match Result: Αλμερία @ 1.4700  |  Over/Under Corners: Under 9.5 @ 1.8500,,
2-Over 9.5,6.2,1.88,9.25,Match Result: Μιραντές @ 6.2000  |  Over/Under Corners: Over 9.5 @ 1.8800,,
2-Under 9.5,6.2,1.85,11,Match Result: Μιραντές @ 6.2000  |  Over/Under Corners: Under 9.5 @ 1.8500,,
X-Over 9.5,4.75,1.88,8.25,Match Result: Ισοπαλία @ 4.7500  |  Over/Under Corners: Over 9.5 @ 1.8800,,
1-Over 9.5,2.9,1.82,4.85,Match Result: Ατλέτικο Mαδρίτης @ 2.9000  |  Over/Under Corners: Over 9.5 @ 1.8200,,
1-Under 9.5,2.9,1.93,5.2,Match Result: Ατλέτικο Mαδρίτης @ 2.9000  |  Over/Under Corners: Under 9.5 @ 1.9300,,
2-Over 9.5,2.57,1.82,4.6,Match Result: Άρσεναλ @ 2.5700  |  Over/Under Corners: Over 9.5 @ 1.8200,,
2-Under 9.5,2.57,1.93,4.8,Match Result: Άρσεναλ @ 2.5700  |  Over/Under Corners: Under 9.5 @ 1.9300,,
X-Over 9.5,3.15,1.82,5.8,Match Result: Ισοπαλία @ 3.1500  |  Over/Under Corners: Over 9.5 @ 1.8200,,
X-Under 9.5,3.15,1.93,6.1,Match Result: Ισοπαλία @ 3.1500  |  Over/Under Corners: Under 9.5 @ 1.9300,,
1-Over 9.5,2.35,1.87,4.1,Match Result: Παρί Σεν-Ζερμέν @ 2.3500  |  Over/Under Corners: Over 9.5 @ 1.8700,,
1-Under 9.5,2.35,1.87,3.95,Match Result: Παρί Σεν-Ζερμέν @ 2.3500  |  Over/Under Corners: Under 9.5 @ 1.8700,,
2-Over 9.5,2.8,1.87,4.6,Match Result: Μπάγερν Μονάχου @ 2.8000  |  Over/Under Corners: Over 9.5 @ 1.8700,,
2-Under 9.5,2.8,1.87,4.9,Match Result: Μπάγερν Μονάχου @ 2.8000  |  Over/Under Corners: Under 9.5 @ 1.8700,,
X-Over 9.5,3.8,1.87,7,Match Result: Ισοπαλία @ 3.8000  |  Over/Under Corners: Over 9.5 @ 1.8700,,
1-Over 8.5,2.47,1.75,4.1,Match Result: Μπράγκα @ 2.4700  |  Over/Under Corners: Over 8.5 @ 1.7500,,
1-Under 8.5,2.47,2.02,4.7,Match Result: Μπράγκα @ 2.4700  |  Over/Under Corners: Under 8.5 @ 2.0200,,
2-Over 8.5,3.1,1.75,5,Match Result: Φράιμπουργκ @ 3.1000  |  Over/Under Corners: Over 8.5 @ 1.7500,,
2-Under 8.5,3.1,2.02,6.3,Match Result: Φράιμπουργκ @ 3.1000  |  Over/Under Corners: Under 8.5 @ 2.0200,,
X-Over 8.5,3.1,1.75,5.5,Match Result: Ισοπαλία @ 3.1000  |  Over/Under Corners: Over 8.5 @ 1.7500,,
X-Under 8.5,3.1,2.02,6.1,Match Result: Ισοπαλία @ 3.1000  |  Over/Under Corners: Under 8.5 @ 2.0200,,
1-Over 9.5,2.55,1.82,4.4,Match Result: Νότιγχαμ Φόρεστ @ 2.5500  |  Over/Under Corners: Over 9.5 @ 1.8200,,
1-Under 9.5,2.55,1.93,4.5,Match Result: Νότιγχαμ Φόρεστ @ 2.5500  |  Over/Under Corners: Under 9.5 @ 1.9300,,
2-Over 9.5,2.87,1.82,5,Match Result: Άστον Βίλα @ 2.8700  |  Over/Under Corners: Over 9.5 @ 1.8200,,
2-Under 9.5,2.87,1.93,5.4,Match Result: Άστον Βίλα @ 2.8700  |  Over/Under Corners: Under 9.5 @ 1.9300,,
X-Over 9.5,3.25,1.82,6.1,Match Result: Ισοπαλία @ 3.2500  |  Over/Under Corners: Over 9.5 @ 1.8200,,
