combo_label,odd1,odd2,combo_odds,legs_summary,,Combination: Match Result (odd1) - 1st Half Corners (odd2)
X-Over 4.5,3.6,1.8,6.4,Match Result: Draw @ 3.6000  |  1st Half Corners: Over 4.5 @ 1.8000,,
X-Under 4.5,3.6,1.95,7.1,Match Result: Draw @ 3.6000  |  1st Half Corners: Under 4.5 @ 1.9500,,
1-Over 4.5,1.95,1.72,3.25,Match Result: Los Angeles Galaxy @ 1.9500  |  1st Half Corners: Over 4.5 @ 1.7200,,
1-Under 4.5,1.95,2.05,3.8,Match Result: Los Angeles Galaxy @ 1.9500  |  1st Half Corners: Under 4.5 @ 2.0500,,
2-Over 4.5,3.6,1.72,5.5,Match Result: Minnesota United FC @ 3.6000  |  1st Half Corners: Over 4.5 @ 1.7200,,
2-Under 4.5,3.6,2.05,6.9,Match Result: Minnesota United FC @ 3.6000  |  1st Half Corners: Under 4.5 @ 2.0500,,
X-Over 4.5,3.8,1.72,6.3,Match Result: Draw @ 3.8000  |  1st Half Corners: Over 4.5 @ 1.7200,,
X-Under 4.5,3.8,2.05,8,Match Result: Draw @ 3.8000  |  1st Half Corners: Under 4.5 @ 2.0500,,
1-Over 4.5,1.62,2.12,3.4,Match Result: CA Rosario Central @ 1.6200  |  1st Half Corners: Over 4.5 @ 2.1200,,
1-Under 4.5,1.62,1.67,2.65,Match Result: CA Rosario Central @ 1.6200  |  1st Half Corners: Under 4.5 @ 1.6700,,
2-Over 4.5,6,2.12,12,Match Result: Club Atletico Tucuman @ 6.0000  |  1st Half Corners: Over 4.5 @ 2.1200,,
2-Under 4.5,6,1.67,9.25,Match Result: Club Atletico Tucuman @ 6.0000  |  1st Half Corners: Under 4.5 @ 1.6700,,
X-Over 4.5,3.65,2.12,7.9,Match Result: Draw @ 3.6500  |  1st Half Corners: Over 4.5 @ 2.1200,,
X-Under 4.5,3.65,1.67,6.2,Match Result: Draw @ 3.6500  |  1st Half Corners: Under 4.5 @ 1.6700,,
1-Over 4.5,1.93,2.2,4.25,Match Result: Union de Santa Fe @ 1.9300  |  1st Half Corners: Over 4.5 @ 2.2000,,
1-Under 4.5,1.93,1.62,3.05,Match Result: Union de Santa Fe @ 1.9300  |  1st Half Corners: Under 4.5 @ 1.6200,,
2-Over 4.5,4.75,2.2,9.75,Match Result: Deportivo Riestra @ 4.7500  |  1st Half Corners: Over 4.5 @ 2.2000,,
2-Under 4.5,4.75,1.62,7.7,Match Result: Deportivo Riestra @ 4.7500  |  1st Half Corners: Under 4.5 @ 1.6200,,
X-Over 4.5,3.05,2.2,6.5,Match Result: Draw @ 3.0500  |  1st Half Corners: Over 4.5 @ 2.2000,,
